,prec,rec,acc,f1,TP,TN,FP,FN
0,0.274999999999725,0.9999999999963637,0.274999999999725,0.43137254868059977,275,0,725,0
1,0.27749747729538093,0.9999999999963637,0.283999999999716,0.43443917817425104,275,9,716,0
2,0.4330708661410503,0.9999999999963637,0.63999999999936,0.6043956039725273,275,365,360,0
3,0.9999999999963504,0.9963636363600132,0.998999999999001,0.998178505871593,274,725,0,1
4,0.9999999999961539,0.9454545454511075,0.984999999999015,0.9719626163191895,260,725,0,15
5,0.9999999999960475,0.9199999999966546,0.977999999999022,0.9583333328305713,253,725,0,22
6,0.9999999999959017,0.8872727272695009,0.968999999999031,0.9402697490164649,244,725,0,31
7,0.9999999999958159,0.8690909090877488,0.963999999999036,0.9299610889929976,239,725,0,36
8,0.9999999999956333,0.8327272727242446,0.9539999999990461,0.9087301582307177,229,725,0,46
9,0.9999999999955157,0.8109090909061422,0.947999999999052,0.8955823288191239,223,725,0,52
10,0.9999999999952607,0.7672727272699372,0.935999999999064,0.8683127567067436,211,725,0,64
11,0.9999999999946809,0.6836363636338777,0.912999999999087,0.8120950319115543,188,725,0,87
12,0.9999999999941521,0.6218181818159206,0.895999999999104,0.7668161430215066,171,725,0,104
13,0.9999999999935485,0.563636363634314,0.87999999999912,0.7209302320937263,155,725,0,120
14,0.9999999999932887,0.5418181818162116,0.873999999999126,0.7028301882200849,149,725,0,126
15,0.999999999993007,0.5199999999981091,0.867999999999132,0.6842105258623773,143,725,0,132
16,0.9999999999915254,0.42909090908934877,0.842999999999157,0.6005089054291578,118,725,0,157
17,0.9999999999900989,0.36727272727139176,0.8259999999991741,0.5372340421574101,101,725,0,174
18,0.9999999999886363,0.3199999999988364,0.812999999999187,0.48484848447850404,88,725,0,187
19,0.9999999999866667,0.272727272726281,0.7999999999992,0.42857142823224487,75,725,0,200
20,0.9999999999846153,0.23636363636277688,0.78999999999921,0.3823529408649654,65,725,0,210
21,0.999999999982143,0.20363636363562315,0.780999999999219,0.33836857977725654,56,725,0,219
22,0.9999999999791668,0.17454545454481984,0.772999999999227,0.2972136220361357,48,725,0,227
23,0.999999999962963,0.09818181818146116,0.751999999999248,0.17880794685586157,27,725,0,248
24,0.9999999998888889,0.03272727272715372,0.733999999999266,0.06338028162832275,9,725,0,266
25,0.0,0.0,0.724999999999275,0.0,0,725,0,275
